THE PINACOL-PINACOLONE MOLECULAR REARRANGEMENT: I. THE REARRANGEMENT OF PINACOL AND TETRAMETHYL EHTYLENE AND CHLOROHYDRIN. II. THE REARRANGEMENT OF B-AMINOTETRAMETHYL ETHANOL,"['ADAMS, KENNETH HOWARD']",1,1932,['Organic chemistry'],['Organic chemistry'],['Pure sciences'],,,
RELATION BETWEEN THEORY AND PRACTICE OF CATALOGING: WITH SPECIAL REFERENCE TO COURSES IN CATALOGING IN LIBRARY SCHOOLS.,"['AKERS, SUSAN GREY']",1,1932,['Library science'],['Library science'],['Communication and the arts'],,,
AN ORIENTATION OF HUME'S MORAL PHILOSOPHY (DAVID HUME),"['ANDERSON, WILHELM']",186,1932,['Philosophy'],['Philosophy'],"['Philosophy, religion and theology']",,DIVISION OF THE HUMANITIES,PHILOSOPHY
"The relative intensities of the lambda alpha(1), beta(1), beta(2), and gamma(1) lines in tantalum, tungsten, iridium and platinum","['Andrew, Victor John']",0,1932,['Atomic physics'],['Atomic physics'],['Pure sciences'],,,
EFFECTS OF ULTRAVIOLET-RADIATION UPON REPRESENTATIVE SPECIES OF FUSARIUM,"['BAILEY, ALICE ALLEN']",47,1932,"['Botany', 'Agriculture']","['Botany', 'Agriculture']",['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,BOTANY
SOME STRUCTURAL AND METABOLIC EFFECTS OF PHYSIOLOGICAL PRE-DETERMINATION,"['BAILEY, WILLIAM MARSHALL']",1,1932,['Botany'],['Botany'],['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,BOTANY
THE USE OF THE LETTERS OF PAUL IN PRE-CATHOLIC CHRISTIAN LITERATURE,"['BARNETT, ALBERT EDWARD']",620,1932,['Biblical studies'],['Biblical studies'],"['Philosophy, religion and theology']",,THE GRADUATE DIVINITY SCHOOL,NEW TESTAMENT
DEATH IN JEWISH FOLK RELIGIONS,"['BARON, JOSEPH LOUIS']",302,1932,['Religion'],['Religion'],"['Philosophy, religion and theology']",,DIVISION OF THE HUMANITIES,COMPARATIVE RELIGION
AN APPROXIMATE CALCULATION OF THE LOWER ENERGY LEVELS OF THE CARBON ATOM,"['BEARDSLEY, NIEL FREEBORN']",0,1932,"['Inorganic chemistry', 'Chemistry']","['Chemistry', 'Inorganic chemistry']",['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,PHYSICS
THE DIRECT AERATION OF AROMATIC NITRILES,"['BECK, THOMAS MILTON']",1,1932,"['Physical chemistry', 'Chemistry']","['Chemistry', 'Physical chemistry']",['Pure sciences'],,,
"EMULSIONS: THEORY, STABILITY AND DISTRIBUTION OF SIZES","['BEEMAN, NORVIL']",1,1932,['Chemistry'],['Chemistry'],['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,CHEMISTRY
THE ONTOGENY OF THE PRIMARY AXIS OF SOJA MAX (GLYCINE MAX),"['BELL, WILLIS HARVEY']",1,1932,['Botany'],['Botany'],['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,BOTANY
EFFECT OF ULTRAVIOLET RADIATION ON GROWTH AND ON THE CALCIUM AND PHOSPHORUS CONTENT OF PLANTS,"['BENEDICT, HARRIS MILLER']",35,1932,['Plant sciences'],['Botany'],['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,BOTANY
STATE AND FEDERAL GRANTS-IN-AID WITH SPECIAL REFERENCE TO EDUCATION AND HIGHWAYS,"['BITTERMANN, HENRY JOHN']",1,1932,['Finance'],['Finance'],['Social sciences'],,DIVISION OF SOCIAL SCIENCES,ECONOMICS
JUSTUS MOESER AS AN HISTORIAN,"['BOSSENBROOK, WILLIAM JOHN']",222,1932,['European history'],['European history'],['Social sciences'],,DIVISION OF THE HUMANITIES,HISTORY
A TOPOGRAPHICAL AND CYTOLOGICAL STUDY OF THE SYMPATHETIC NERVOUS COMPONENTS OF THE SUPRARENAL OF THE CHICK EMBRYO,"['BRAUER, ALFRED']",0,1932,['Morphology'],"['Anatomy & physiology', 'Morphology']",['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,ZOOLOGY
SIZE OF EXPLANT AND VOLUME OF MEDIUM IN TISSUE CULTURES,"['BUCHSBAUM, RALPH MORRIS']",0,1932,['Physiology'],"['Anatomy & physiology', 'Animals']",['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,ZOOLOGY
NON-CONJUGATE OSCULATING QUADRICS OF A CURVE ON A SURFACE,"['BULLOCK, ROBERTS COZART']",1,1932,['Mathematics'],['Mathematics'],['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,CHEMISTRY
THE NUTRITIONAL REQUIREMENTS OF CLOSTRIDIUM BOTULINUM,"['BURROWS, WILLIAM']",1,1932,['Microbiology'],['Microbiology'],['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,HYGIENE AND BACTERIOLOGY
A CRITICAL SURVEY OF SOME RECENT THEORIES OF THE ORIGIN AND NATURE OF RELIGION,"['BUSCHMAN, HAROLD']",396,1932,['Religious history'],['Religious history'],"['Philosophy, religion and theology']",,DIVISION OF THE HUMANITIES,COMPARATIVE RELIGION
STUDIES ON DISSOCIATION OF CERTAIN PARATYPHOID BACILLI: THE ROLE OF VARIANTS IN THE PRECIPITATION OF CALCIUM SULPHITE,"['CALDWELL, MARY ESTILL']",1,1932,['Microbiology'],['Microbiology'],['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,HYGIENE AND BACTERIOLOGY
A PRE-ACHAEMENID HISTORY OF PERSIA,"['CAMERON, GEORGE GLENN']",1,1932,"['Asian History', 'History']","['History', 'Asian history']",['Social sciences'],,,
A STUDY OF THE ACTION OF THE GRIGNARD REAGENT ON AROMATIC OXIMES,"['CAMPBELL, KENNETH NIELSON']",1,1932,['Organic chemistry'],['Organic chemistry'],['Pure sciences'],,,
PLANT SUCCESSION AND GRAZING CAPACITY ON CLAY SOILS IN SOUTHERN NEW MEXICO,"['CAMPBELL, ROBERT SAMUEL']",0,1932,['Agronomy'],['Agronomy'],['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,BOTANY
"THE READING NEEDS OF TYPICAL STUDENT GROUPS, WITH SPECIAL ATTENTION TO FACTORS CONTRIBUTING TO THE SATISFACTION OF READING INTERESTS","['CARNOVSKY, LEON']",1,1932,"['Reading instruction', 'Library science']","['Literacy', 'Reading instruction', 'Library science']","['Communication and the arts', 'Education']",,,
ROMAN RELIGION AS SEEN IN PLINY'S NATURAL HISTORY,"['CASPAR, JACOB WILLIAM']",1,1932,['Theology'],['Theology'],"['Philosophy, religion and theology']",,DIVISION OF THE HUMANITIES,LATIN
THE CZECH NATIONAL REVIVAL. A SURVEY OF THE CULTURAL AND POLITICAL HISTORY OF THE CZECHS FROM 1815-1870 (CZECHOSLOVAKIA),"['CHADA, JOSEPH']",1,1932,['European history'],['European history'],['Social sciences'],,DIVISION OF SOCIAL SCIENCES,HISTORY
THE ACTION OF ELECTROLYTES OF NERVE RESPIRATION,"['CHANG, TSUNG HAN']",1,1932,['Physiology'],['Physiology'],['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,PHYSIOLOGY
"EMPLOYED BOYS AND GIRLS OF ROCHESTER AND UTICA, NEW YORK","['CHANNING, ALICE']",1,1932,['Sociology'],['Sociology'],['Social sciences'],,THE GRADUATE SCHOOL OF SOCIAL SERVICE ADMINISTRATION,
NON-DRAMATIC SOURCES FOR THE ROGUES IN MIDDLETON'S PLAYS (THOMAS MIDDLETON),"['CHRISTIAN, MILDRED GAYLER']",137,1932,['British and Irish literature'],"['British and Irish literature', 'British & Irish literature']","['Language, literature and linguistics']",,,
SCATTERING OF X-RAYS FROM SOLIDS,"['COVEN, ALLEN WILLIS']",0,1932,['Physics'],['Physics'],['Pure sciences'],,,
