Year,Division,Department,Name,Post,Diss_Title,,,,,,,,,,,
1899,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,IRVING HARDESTY,Professor and Head of Department of Anatomy  Tulane University  New Orleans  La,The Number and Arrangement of the Fibers Forming the Spinal Nerves of the Frog,,,,,,,,,,,
1902,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,SHINKISHI HATAI,Professor of Anatomy  Tohoku Imperial University  Sendai  Japan,Studies on the Nervous System of the White Rat and Foetal Cat,,,,,,,,,,,
1903,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,CHARLES EMERSON INGBERT,(Died March  1909 ),An Enumeration of the Medullated Nerve Fibers in the Dorsal Roots of the Spinal Nerves of Man,,,,,,,,,,,
1905,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,STEPHEN WALTER RANSON,Professor of Neuroanatomy  Northwestern Uni- versity  Chicago  Ill,Retrograde Degeneration in Spinal Nerves,,,,,,,,,,,
1906,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,EMIL GOETSCH,Professor of Surgery and Surgeon-in-Chief  Long Island Hospital Medical College  Brooklyn  N Y,The Structure of the Mammalian Oesophagus,,,,,,,,,,,
1907,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,EDWIN GARVEY KIRK,(Died January 2  1927 ),Histogenesis of the Gastric Glands,,,,,,,,,,,
1907,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,JOHN SUNDWALL,Professor of Hygiene and Public Health  University of Mich- igan  Ann Arbor  Mich,The Structure of the Lachrymal Gland,,,,,,,,,,,
1909,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,RALPH EDWARD SHELDON,(Died July 9  1918 ),The Olfactory Tracts and Centers in Teleosts,,,,,,,,,,,
1910,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,CHARLES BROOKOVER,(Died March 17  1922 ),The Olfactory Nerve  the Nervus Terminalis and the Preoptic Sympathetic System in Amia calva L,,,,,,,,,,,
1911,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,PAUL STILWELL MCKIBBEN,Professor of Anatomy  University of Southern California  Los Angeles  Calif,The Nervus Terminalis in Urodele Amphibia,,,,,,,,,,,
1912,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,EDMUND VINCENT COWDRY,Professor of Cytology  Washington University  St  Louis  Mo,Mitochondria and Other Cytoplasmic Constituents of the Spinal Ganglion Cells of the Pigeon,,,,,,,,,,,
1913,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,CHARLES HENRY SWIFT,Associate Professor of Anatomy  University of Chicago  Chicago  Ill,Origin and Early History of the Primordial Germ-Cells in the Chick,,,,,,,,,,,
1915,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,ELIZABETH CAROLINE CROSBY,Associate Professor of Anatomy  University of Michigan  Ann Arbor  Mich,The Telencephalon of Alligator Mississippiensis,,,,,,,,,,,
1917,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,MARION HINES,Associate Professor of Anatomy  Johns Hopkins Medical School  Baltimore  Md,Studies in the Growth and Differentiation of the Telencephalon  I  The Fissura Hippocampi,,,,,,,,,,,
1918,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,PERCIVAL BAILEY,"Professor of Surgery, University of Chicago, Chicago, Ill. ",The Morphology of the Roof-Plate of the Forebrain and the Lateral Choroid Plexuses in the Human Embryo. ,,,,,,,,,,,
1918,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,ELBERT CLARK,"Physician, 5 S. Wabash Ave., Chicago, Ill",Regeneration of Medullated Nerves in the Absence of Embryonic Nerve Fibers Following Experimental Non-traumatic Degeneration,,,,,,,,,,,
1919,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,LUTHER SHERMAN ROSS,"Professor of Zoology, Drake University, Des Moines, Ia. ",Cytology of Large Nerve Cells of the Crayfish (Cambarus), ,,,,,,,,,,
1921,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,FREDERIC MAX NICHOLSON,"Physician, Norwegian American Hospital, Chicago, Ill. ",The Changes in Amount and Distribution of the Iron-containing Proteins of Nerve Cells Following Injury to Their Axones, ,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,THEODORE HIERONYMUS BAST,"Associate Professor of Anatomy, University of Wisconsin, Madison, Wis. ","The Maxillary Sinus of the Dog, with Special Reference to Certain New Structures, Probably Sensory in Nature. ",,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,CLARK OWEN MELICK,"Physician, 1605 E. 67th St., Chicago, Ill. ",The Preparation of Bacterial Antigens,,,,,,,,,,,
1922,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,SHINZO MOTOHASHI,"88 Hisakatamachi Koishikawa, Tokyo, Japan. ",Fixed Tissue Phagocytosis, ,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,MABEL BISHOP,"Professor of Zoology and Hygiene; Head, Department of Biology, Hood College, Frederick, Md. ",The Nervous System of a Two-headed Pig Embryo, ,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,DANIEL BARTLETT MACCALLUM,"Physician, Los Angeles, Calif. ",The Arterial Blood Supply of the Mammalian Kidney,,,,,,,,,,,
1923,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,META LOUISE SCHROEDER ,"(Mrs. Earl R. Beckner), Chicago, Ill. ",(1) The Effect of Bacterial Infection upon Antibody Production. (2) The Effect of Pneumococcus Extract upon Antibody Production. ,,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,"PERCIVAL ALLEN GRAY, JR.","Santa Barbara, Calif. ","The Cortical Lamination Pattern of the Opossum, Didelphys virginiana. ",,,,,,,,,,,
1924,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,JEANNETTE BROWN OBENCHAIN,"Research Associate in Anatomy, University of Chicago, Chicago, Ill. ","The Brain of a South American Marsupial, Caenolestes. ",,,,,,,,,,,
1925,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,PATRICK ARTHUR DELANEY,"National Research Council Fellow, University of Chicago, Chicago, Ill. ",The Mesothelium of Turtles. ,,,,,,,,,,,
1925,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,DANIEL LYTLE STORMONT,"Physician, Evanston, Ill. ",Nerve Endings and Secretory Activity in the Submaxillary Gland of the Rabbit. ,,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,THEOPHIL PAUL GRAUER,"Physician, Chicago, Ill. ",Regeneration in the Pancreas of the Rabbit, ,,,,,,,,,,
1926,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,JOHN C. ROGERS,"Instructor, Rush Medical College, Chicago, Ill. ",The Fate of Human and Avian Tubercle Bacilli in the Liver of Birds,,,,,,,,,,,
1927,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,ROLLO CLYDE BAKER,"Associate Professor of Anatomy, Ohio State University, Columbus, Ohio. ",The Early Development of the Ventral Part of the Neural Tube of Amblystoma. ,,,,,,,,,,,
1927,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,RALPH ALBERT KNOUFF,"Associate Professor of Anatomy, Ohio State University, Columbus, Ohio. ",The Origin of the Cerebral Ganglia of Rana. ,,,,,,,,,,,
1927,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,I. CHUAN WEN,"Peking Union Medical College, Peiping, China. ",The Anatomy of Human Embryos with Seventeen to Twenty-three Pairs of Somites,,,,,,,,,,,
1928,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,JOHN HAYS BAILEY,"Huesman Fellow and Member, Department of Pediatrics, Indiana University School of Medicine and Hospitals, Indianapolis, Ind. ",,,,,,,,,,,,
1928,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,JAMES LEE O'LEARY,"Assistant Professor of Anatomy, Washington University, St. Louis, Mo. ",The Form Changes in the Human Uterine Gland during the Menstrual Cycle and in Early Deciduae. ,,,,,,,,,,,
1929,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,YU TAO LOO,Chicago Ill,On Projection Fibres on the Forebrain of the Virginian Opossum,,,,,,,,,,,
1929,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,NORMAND LOUIS HOERR," Instructor in Anatomy, University of Chicago, Chicago, Ill. ","The Cells of the Suprarenal Cortex in the Guinea Pig, Their Reaction to Injury, and Their Replacement. ",,,,,,,,,,,
1929,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,JOSEPH ELDRIDGE MARKEE,"Instructor in Anatomy, Stanford University, Palo Alto, Calif.",Some Specific Vascular Changes in the Uterus of Mammals, ,,,,,,,,,,
1929,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,EMORY ROSS STRAUSER,"Intern, St. Luke's Hospital, Chicago, Ill. ",On the Relation of Changes in Blood Coagulability to Protein Shock,,,,,,,,,,,
1929,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,HAROLD C. VORIS,"Intern, Cook County Hospital, Chicago, Ill. ",The Morphology of the Spinal Cord of the Virginian Opossum (Didelphis Virginiana). ,,,,,,,,,,,
1930,THE DIVISION OF THE BIOLOGICAL SCIENCES,ANATOMY,ROSCOE LEWIS MCKINNEY,"Professor of Anatomy, Howard University, Wash- ington, D.C. ",Studies on Fibers in Tissue Culture. III. The Development of Reticulum into Collagenous Fibers in Cultures of Adult Rabbit Lymph Nodes.,,,,,,,,,,,
1897,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,CHARLES JOSEPH CHAMBERLAIN,"Professor Emeritus of Plant Morphology and Cytology, University of Chicago, Chicago, Ill. ",Contributions to the Life History of Salix,,,,,,,,,,,
1898,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WILLIAM L. BRAY,"Professor and Head of the Department of Botany, and Dean of Graduate School, Syracuse University, Syracuse, N.Y.",The Xerophytic Flora of the Texas Plains. ,,,,,,,,,,,
1898,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,OTIS WILLIAM CALDWELL,"Lincoln Institute of School Experimentation, Teachers College, Columbia University, New York, N.Y. ","Morphology of Lemna, with Ecological Notes. ",,,,,,,,,,,
1898,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HENRY CHANDLER COWLES,"Professor and Chairman of the Department of Botany, University of Chicago, Chicago, Ill.",An Ecological Study of the Sand Dune Flora of Northern Indiana. ,,,,,,,,,,,
1898,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WILLIAM DAYTON MERRELL,"Professor of Biology, University of Rochester, Rochester, N.Y. ",Contribution to the Life History of Silphium. ,,,,,,,,,,,
1899,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,NELS L. T. NELSON,"Goodhue, Minn. ",Revision of the North American Species of Solanum. ,,,,,,,,,,,
1900,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOHN GAYLORD COULTER,"Vice-President, Wabash College, Crawfordsville, Ind.",A Contribution to the Life History of Sium.,,,,,,,,,,,
1900,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,FRANK LINCOLN STEVENS,"Professor of Plant Pathology, University of Illinois, Urbana, Ill.",The Compound Oosphere of Albugo bliti.,,,,,,,,,,,
1901,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ANSTRUTHER ABERCROMBIE LAWSON.,"(Died March 26, 1927.)",Studies on the Morphology of the Nucleus.,,,,,,,,,,,
1901,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,BURTON EDWARD LIVINGSTON,"Professor of Plant Physiology, Johns Hopkins University, Baltimore, Md.",The Rôle of Diffusion and Osmotic Pressure in Plants.,,,,,,,,,,,
1901,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,FLORENCE MAY LYON,"(Mrs. Vincent Norton), The Codlins, Lone Pine Road, Birmingham, Mich.",The Development of the Sporangium and Gametophyte of Selaginella rupestris.,,,,,,,,,,,
1901,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JAMES BERTRAM OVERTON,"Professor of Plant Physiology, University of Wisconsin, Madison, Wis.",Parthenogenesis in Thalictrum purpurescens.,,,,,,,,,,,
1902,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,THEODORE CHRISTIAN FRYE,"Professor and Head of the Department of Botany, University of Washington, Seattle, Wash.",Fertilization and Attendant Phenomena in Asclepias and Acerates.,,,,,,,,,,,
1903,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOHN FREDERICK GARBER,"(Died December 29, 1917.)",The Life History of Ricciocarpus natans.,,,,,,,,,,,
1903,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,GEORGE MELLINGER HOLFERTY,"(Died February 7, 1930.)",The Development and Phylogeny of the Archegonium of Bryum proliferum.,,,,,,,,,,,
1903,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HARRY NICHOLS WHITFORD,"143 Gramatan Avenue, Mount Vernon, N.Y.","The Ecological Relations of the Coniferous Forests of the Flathead Valley, Mont.",,,,,,,,,,,
1904,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,MINTIN ASBURY CHRYSLER,"Associate Professor of Botany, Rutgers College, New Brunswick, N.J.",The Development of the Central Cylinder in Araceae and Liliaceae.,,,,,,,,,,,
1904,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,CLIFTON DURANT HOWE,"Dean of the Forest School and Professor of Forestry, University of Toronto, Toronto, Canada.",Reforestation on the Colchester-Essex Sand Plains.,,,,,,,,,,,
1904,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WILLIAM JESSE GOAD LAND,"Professor Emeritus of Plant Morphology, Univer- sity of Chicago, Chicago, Ill.",A Morphological Study of Thuja.,,,,,,,,,,,
1904,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WILLIAM BURNET MCCALLUM,"Chief Botanist, Agricultural Products Corporation, Salinas, Calif.",Regeneration and Polarity in Plants.,,,,,,,,,,,
1904,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,GEORGE HARRISON SHULL,"Professor of Botany and Genetics, Princeton University, Princeton, N.J.","A Second Contribution to the Establishment of Place-Constants for Aster prenanthoides Muhl. at Clifton, Ohio.",,,,,,,,,,,
1904,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LAETITIA MORRIS SNOW,"Associate Professor of Botany, Wellesley College, Wellesley, Mass.",The Effects of External Agents on the Production of Root Hairs.,,,,,,,,,,,
